deviceid, timestamp, latitude, longitude, humidity, temperature, particles, carbonmonoxide, heaterOn 
1, 2015-10-21T22:15:00+10:30,-34.924603,138.601027,39.5,24.799999,180,204,1
1, 2015-10-21T22:15:05+10:30,-34.924603,138.601027,39.5,24.799999,175,196,1
1, 2015-10-21T22:15:10+10:30,-34.924603,138.601027,39.5,24.700001,168,192,1
1, 2015-10-21T22:15:15+10:30,-34.924603,138.601027,39.5,24.799999,164,190,1
1, 2015-10-21T22:15:20+10:30,-34.924603,138.601027,39.5,24.700001,175,187,1
1, 2015-10-21T22:15:25+10:30,-34.924603,138.601027,39.5,24.700001,191,186,1
1, 2015-10-21T22:15:30+10:30,-34.924603,138.601027,39.5,24.700001,168,186,1
1, 2015-10-21T22:15:35+10:30,-34.924603,138.601027,39.299999,24.700001,126,86,0
1, 2015-10-21T22:15:40+10:30,-34.92466,138.600938,39.299999,24.700001,185,50,0
1, 2015-10-21T22:15:45+10:30,-34.924686,138.600887,39.200001,24.6,186,39,0
1, 2015-10-21T22:15:50+10:30,-34.924686,138.600887,39.200001,24.6,176,34,0
1, 2015-10-21T22:15:55+10:30,-34.924686,138.600887,39.200001,24.6,116,34,0
1, 2015-10-21T22:16:00+10:30,-34.924686,138.600887,39.200001,24.6,201,32,0
1, 2015-10-21T22:16:05+10:30,-34.924686,138.600887,39.200001,24.5,134,35,0
1, 2015-10-21T22:16:10+10:30,-34.924686,138.600887,39.299999,24.5,192,35,0
1, 2015-10-21T22:16:15+10:30,-34.924686,138.600887,39.299999,24.5,181,37,0
1, 2015-10-21T22:16:20+10:30,-34.924725,138.600772,39.200001,24.4,171,38,0
1, 2015-10-21T22:16:25+10:30,-34.924743,138.60068,39.299999,24.4,123,41,0
1, 2015-10-21T22:16:30+10:30,-34.924743,138.60068,39.400002,24.4,189,40,0
1, 2015-10-21T22:16:35+10:30,-34.924743,138.60068,39.400002,24.299999,126,47,0
1, 2015-10-21T22:16:40+10:30,-34.924743,138.60068,39.5,24.299999,189,46,0
1, 2015-10-21T22:16:45+10:30,-34.924743,138.60068,39.5,24.299999,174,48,0
1, 2015-10-21T22:16:50+10:30,-34.924743,138.60068,39.5,24.200001,195,51,0
1, 2015-10-21T22:16:55+10:30,-34.924564,138.600421,39.5,24.200001,118,55,0
1, 2015-10-21T22:17:00+10:30,-34.924564,138.600421,39.599998,24.200001,186,57,0
1, 2015-10-21T22:17:06+10:30,-34.924589,138.600473,39.700001,24.1,174,208,1
1, 2015-10-21T22:17:11+10:30,-34.924579,138.600535,39.799999,24.1,168,252,1
1, 2015-10-21T22:17:16+10:30,-34.924579,138.600535,39.799999,24.1,172,234,1
1, 2015-10-21T22:17:21+10:30,-34.924579,138.600535,39.900002,24.1,172,215,1
1, 2015-10-21T22:17:26+10:30,-34.924579,138.600535,39.900002,24,177,203,1
1, 2015-10-21T22:17:31+10:30,-34.924541,138.600643,40,24,169,176,1
1, 2015-10-21T22:17:36+10:30,-34.924548,138.600716,40.099998,24,158,189,1
1, 2015-10-21T22:17:41+10:30,-34.924556,138.600841,40.299999,23.9,163,189,1
1, 2015-10-21T22:17:46+10:30,-34.924556,138.600841,40.400002,23.9,161,186,1
1, 2015-10-21T22:17:51+10:30,-34.92457,138.601093,40.400002,23.799999,149,179,1
1, 2015-10-21T22:17:56+10:30,-34.924494,138.601342,40.5,23.799999,157,148,1
1, 2015-10-21T22:18:01+10:30,-34.924497,138.601765,40.700001,23.700001,172,121,1
1, 2015-10-21T22:18:06+10:30,-34.924282,138.602151,40.700001,23.6,188,34,0
1, 2015-10-21T22:18:11+10:30,-34.92427,138.602466,40.799999,23.5,146,22,0
1, 2015-10-21T22:18:16+10:30,-34.924314,138.602668,40.799999,23.4,193,22,0
1, 2015-10-21T22:18:21+10:30,-34.924352,138.602843,41,23.4,173,25,0
1, 2015-10-21T22:18:26+10:30,-34.924363,138.603115,41.200001,23.299999,188,22,0
1, 2015-10-21T22:18:31+10:30,-34.92436,138.603355,41.200001,23.200001,170,18,0
1, 2015-10-21T22:18:36+10:30,-34.924299,138.60371,41.299999,23.1,183,14,0
1, 2015-10-21T22:18:41+10:30,-34.92425,138.604109,41.400002,23,122,13,0
1, 2015-10-21T22:18:46+10:30,-34.924165,138.604366,41.5,23,185,15,0
1, 2015-10-21T22:18:51+10:30,-34.924187,138.604731,41.700001,22.9,164,15,0
1, 2015-10-21T22:18:56+10:30,-34.924145,138.605122,41.799999,22.799999,189,12,0
1, 2015-10-21T22:19:01+10:30,-34.924089,138.605456,42,22.700001,187,11,0
1, 2015-10-21T22:19:06+10:30,-34.924251,138.605697,42.099998,22.6,179,9,0
1, 2015-10-21T22:19:11+10:30,-34.924612,138.605747,42.200001,22.5,102,9,0
1, 2015-10-21T22:19:16+10:30,-34.925023,138.605765,42.299999,22.4,201,8,0
1, 2015-10-21T22:19:21+10:30,-34.925379,138.605802,42.299999,22.200001,198,9,0
1, 2015-10-21T22:19:26+10:30,-34.925707,138.605786,42.5,22.1,169,9,0
1, 2015-10-21T22:19:31+10:30,-34.926012,138.605741,42.5,22,167,8,0
1, 2015-10-21T22:19:36+10:30,-34.926364,138.605794,42.700001,21.799999,143,56,1
1, 2015-10-21T22:19:41+10:30,-34.926762,138.605902,42.799999,21.6,157,106,1
1, 2015-10-21T22:19:46+10:30,-34.927107,138.605949,43,21.5,166,137,1
1, 2015-10-21T22:19:51+10:30,-34.927477,138.606035,43.099998,21.4,157,139,1
1, 2015-10-21T22:19:56+10:30,-34.927798,138.606044,43.400002,21.299999,151,165,1
1, 2015-10-21T22:20:01+10:30,-34.928014,138.606075,43.599998,21.200001,159,206,1
1, 2015-10-21T22:20:06+10:30,-34.92807,138.60608,43.900002,21.200001,166,257,1
1, 2015-10-21T22:20:11+10:30,-34.928118,138.606087,44.200001,21.1,155,244,1
1, 2015-10-21T22:20:16+10:30,-34.928118,138.606087,44.599998,21.1,159,219,1
